Item_ID,product_type,price,product_name,size,colour,quantity,description
0,Shirt,114,Oxford Cloth,XS,red,66,"A red coloured, XS sized, Oxford Cloth Shirt"
1,Shirt,114,Oxford Cloth,S,red,53,"A red coloured, S sized, Oxford Cloth Shirt"
2,Shirt,114,Oxford Cloth,M,red,54,"A red coloured, M sized, Oxford Cloth Shirt"
3,Shirt,114,Oxford Cloth,L,red,69,"A red coloured, L sized, Oxford Cloth Shirt"
4,Shirt,114,Oxford Cloth,XL,red,47,"A red coloured, XL sized, Oxford Cloth Shirt"
5,Shirt,114,Oxford Cloth,XS,orange,45,"A orange coloured, XS sized, Oxford Cloth Shirt"
6,Shirt,114,Oxford Cloth,S,orange,72,"A orange coloured, S sized, Oxford Cloth Shirt"
7,Shirt,114,Oxford Cloth,M,orange,77,"A orange coloured, M sized, Oxford Cloth Shirt"
8,Shirt,114,Oxford Cloth,L,orange,48,"A orange coloured, L sized, Oxford Cloth Shirt"
9,Shirt,114,Oxford Cloth,XL,orange,43,"A orange coloured, XL sized, Oxford Cloth Shirt"
10,Shirt,114,Oxford Cloth,XS,yellow,72,"A yellow coloured, XS sized, Oxford Cloth Shirt"
11,Shirt,114,Oxford Cloth,S,yellow,78,"A yellow coloured, S sized, Oxford Cloth Shirt"
12,Shirt,114,Oxford Cloth,M,yellow,56,"A yellow coloured, M sized, Oxford Cloth Shirt"
13,Shirt,114,Oxford Cloth,L,yellow,75,"A yellow coloured, L sized, Oxford Cloth Shirt"
14,Shirt,114,Oxford Cloth,XL,yellow,50,"A yellow coloured, XL sized, Oxford Cloth Shirt"
15,Shirt,114,Oxford Cloth,XS,green,68,"A green coloured, XS sized, Oxford Cloth Shirt"
16,Shirt,114,Oxford Cloth,S,green,56,"A green coloured, S sized, Oxford Cloth Shirt"
17,Shirt,114,Oxford Cloth,M,green,60,"A green coloured, M sized, Oxford Cloth Shirt"
18,Shirt,114,Oxford Cloth,L,green,52,"A green coloured, L sized, Oxford Cloth Shirt"
19,Shirt,114,Oxford Cloth,XL,green,42,"A green coloured, XL sized, Oxford Cloth Shirt"
20,Shirt,114,Oxford Cloth,XS,blue,47,"A blue coloured, XS sized, Oxford Cloth Shirt"
21,Shirt,114,Oxford Cloth,S,blue,51,"A blue coloured, S sized, Oxford Cloth Shirt"
22,Shirt,114,Oxford Cloth,M,blue,57,"A blue coloured, M sized, Oxford Cloth Shirt"
